words,tag
vinil,B-PERSON
bandaru,I-PERSON
  ,O
1520,B-COMPANY
southwest,I-COMPANY
expressway,I-COMPANY
apt147,I-COMPANY
san,B-LOCATION
jose,I-LOCATION
ca,I-LOCATION
95126,O
  ,O
email,B-EMAIL
vinilzheregmailcom,I-EMAIL
  ,O
phone,B-NUMBER
862,I-NUMBER
754,I-NUMBER
8456,I-NUMBER
  ,O
631,B-NUMBER
780,I-NUMBER
4647,I-NUMBER
    ,O
senior,B-SKILLS
business,I-SKILLS
analyst,I-SKILLS
with,O
an,O
overall,O
it,O
experience,O
of,O
more,B-DATE
than,I-DATE
13,I-DATE
years,I-DATE
    ,O
professional,O
summary,O
        ,O
13,B-DATE
years,I-DATE
of,O
total,O
work,O
experience,O
in,O
it,O
industry,O
    ,O
8,B-DATE
years,I-DATE
of,O
experience,O
in,O
business,B-SKILLS
analysis,I-SKILLS
working,O
with,O
major,O
financial,O
firms,O
–,O
requirements,B-SKILLS
gathering,I-SKILLS
jad,B-SKILLS
sessions,I-SKILLS
specification,I-SKILLS
documents,O
use,B-SKILLS
cases,I-SKILLS
user,B-SKILLS
stories,I-SKILLS
process,B-SKILLS
flows,I-SKILLS
wireframesui,O
prototyping,O
functional,B-SKILLS
testing,I-SKILLS
and,O
validation,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
liaise,O
between,O
business,O
and,O
technicalquality,O
assurance,O
teams,O
    ,O
8,B-DATE
years,I-DATE
of,O
experience,O
in,O
system,O
analysis,O
solution,O
design,O
development,O
management,O
and,O
implementation,O
of,O
large,O
scale,O
enterprise,O
wide,O
software,O
applications,O
in,O
the,O
media,O
and,O
finance,O
domains,O
    ,O
6,B-DATE
years,I-DATE
of,O
experience,O
in,O
salesforcecom,O
sfdc,O
implementation,O
–,O
sales,O
cloud,B-SKILLS
service,I-SKILLS
cloud,O
and,O
admin,B-SKILLS
processes,I-SKILLS
and,O
integration,O
with,O
other,O
applications,O
    ,O
5,B-DATE
years,I-DATE
of,O
experience,O
in,O
sap,B-SKILLS
ecc,B-SKILLS
implementation,O
–,O
sd,B-SKILLS
and,O
mm,B-SKILLS
modules,O
and,O
integration,O
with,O
other,O
applications,O
    ,O
5,B-DATE
years,I-DATE
of,O
experience,O
in,O
siebel,B-SKILLS
crm,I-SKILLS
–,O
sales,O
process,O
and,O
integration,O
with,O
other,O
applications,O
    ,O
4,B-DATE
years,I-DATE
of,O
experience,O
in,O
ibm,O
mainframe,O
technologies,O
online,O
and,O
batch,O
processing,O
    ,O
extensive,O
experience,O
working,O
and,O
implementing,O
business,O
processes,O
around,O
leadtocash,O
ordertocash,O
and,O
billing,O
    ,O
8,B-SKILLS
years,I-SKILLS
of,O
experience,O
in,O
migration,O
etl,B-SKILLS
and,O
reengineering,O
projects,O
–,O
siebel,B-SKILLS
crm,I-SKILLS
to,O
salesforcecom,O
mainframes,O
to,O
siebel,B-SKILLS
crm,I-SKILLS
mainframes,O
to,O
sap,O
    ,O
5,B-DATE
years,I-DATE
of,O
experience,O
in,O
project,O
managementpmo,O
activities,O
such,O
as,O
project,O
planning,O
cost,O
estimation,O
effort,O
estimation,O
resource,O
requirement,O
change,O
management,O
work,O
allocation,O
risk,O
management,O
and,O
project,O
tracking,O
    ,O
wellversed,O
in,O
